,keluhan
2087,kok cm unesa dan its mana uin unair upn untag dll anak tiri
2088,brti tiap mau naik kita nunggu di halte sambil bawa plastik bekas untuk kasih tugas brti tiap halte ada yg jaga yah
2089,cara numpake yaopo min
2090,kata akan kabar saat tanya ke lurah saat itu serempak surabaya sekitar akhir tahun 2016 bulan sept oktober nov gitu masalah urus sertifikat tanah di surabaya tapi sampe sekarang tidak ada kabar lagi ini harus bagaimana mohon pencerrahannya
2091,rute nya lalu mana
2092,min ada info rute tarif bus suroboyo terima kasih
2093,kait dengan urus dokumen duduk yang ada di wilayah dinas duduk dan catat sipil kota surabaya kami sampai beberapa hal sangkut layan yang tidak muas karena data ganda blokir bagai ikut kronologis - marsya cindy aulia 4th nik 3578045603120002-no kk pertama 3578040501081707no kk dua 3578040910120003 no kk tiga 1 awal mula marsya cindy aulia 4th catat bagai duduk warga lurah pulo wonokromo tapi marsya tinggal di keputran pasar kecil wilayah lurah embong kaliasin oleh ayah waktu masih bayi sudah daftar di lurah pulo wonokromo dan masuk dalam kk pertama no 3578040501081707 sama kk kakek-neneknya sutadi dan sumaliyah telah pak sutadi tinggal kemudian ibu sumaliyah urus baharu kk dengan nik 3578040910120003 telah putri ibu sumaliyah yang nama siska aulia sari nik 3578044909960001 meni siska kk baru tiga lalu ibu pindah masuk ke kk siska kk tiga tapi marsya tidak ikut serta dalam kk baru sebut sehingga baca oleh sistem dukcapil bagai data ganda dan blokir 2 data ganda blokirmarsya blokir di kk dua telah kami cek kk ini di kantor dukcapil lurah pulo wonokromo dan camat wonokromo dengan status data ganda blokir maka saran tugas camat urus buka blokir lebih dahulu dengan alur yang sudah tentu kami sudah ikut sesuai alur yang beri urus buka blokir dari rt rw hingga camat dan dukcapil masalah telah dari dukcapil kami pingpong ke camat kemudian oleh tugas camat pingpong lagi ke lurah untuk urus surat pindah telah di lurah kami masih sulit dengan urus surat hilang dari polisi sedang kami tidak hilang dokumen kk dua sebut tanya kami - kenapa kok bisa jadi data ganda - apa prosedur cetak kk baru - mesti dukcapil selesai status kk marsya lebih dahulu mau diikutkansertakan di kk baru atau pindah belum terbit kk baru - apa boleh orang urus kk baru dengan suka hati hapus satu nama di kk baru padahal hapus satu nama yang tinggal saja harus ada akta mati belum terbit kk baru - mengapa mudah itu hapus satu nama di kk baru tanpa terang lepas dari urus pribadi keluarga - mengapa pihak dukcapil tidak bisa men-shortcut masalah yang tidak bisa selesai lurah dan camat padahal dokumen lengkap sesuai alur prosedur sehingga kami bolak-balik dari kelurahan-kecamatan-dukcapil yang jarak lumayan jauh - kenapa kami masih suruh urus surat hilang dari pihak polisi oleh lurah pulo wonokromo akan kami lalai hilang kk padahal kami tidak hilang - kenapa jawab dari pihak camat wonokromo dan lurah pulo wonokromo beda camat suruh minta surat pindah ke lurah sedang dari lurah suruh minta surat hilang dari polisi kami harap tata kelola administrasi duduk yang sudah reformasi oleh ibu walikota ini yang mana urus sudah canggih dan humanis tidak bingung bikin orang repot riwa-riwi ini lebih ketat dan selidik lagi siapa masuk data ganda sebut agar tidak buat kacau ulah oknum dukcapil lurah camat yang bekerjasama dengan calo dokumen duduk dengan mau hapus nama tanpa terang ini yang bisa acau database duduk kota surabaya moga hal ini tidak jadi lagi pada orang lain jebak di kk lama dan blokir kami harap pihak dukcapil dan perangkat peduli dengan selamat kami di jalan yang bolak-balik ini bila jadi celaka atau sesuatu hal di jalan tentu kami juga yang rugi atas perhati kami ucap terima kasih ibu sumaliyah pindah kk ke keluarga siska aulia tidak mengikutsertakan marsya sehingga kk yg tinggal bu sumaliyah hanya ada marsya cindy aulia yg mana masih umur 4 tahun sistem dukcapil blokir kk tsb sampai sekarang masih blokir kk yg lama sudah tutup hardcopy nya sudah serah ke lurah
2094,rute jalan yg dilewatin dong min
2095,assalamualaikum maaf saya mau lapor sungai dari kampung wonokitri hingga pakis sampai ke banyu urip itu masih nampak kotor mohon lapor kepada dinas kait agar sungai sungai kecil yang ada di kampung kampung di sih dan manfaat terimakasih
2096,
2097,gimana cara ikut blc nya
2098,min itu bayar pakai uang ta min
2099,assalamualaikum wr wbpagi2 bgt anak saya no 3 ngantri ke camat rungkut buat ngurus akta lahir adeknya km mmg asal dari camat tegalsari dan dgr info bisa ngurus akta lahir yg mudah via mbl kliling sebut mulai bebrp hari lalu kami ngikut antri di camat genteng ama camat jambang tp sll ga bagi nomer antri yg jatah 100 org tp pas di camat rungkut td anak kami dpt nomer tp stlah mbl klilingnya dtg dan buka anak kami tolak dgn alas layan hari ini khusus buat warga rungkut yg kami tanya apa bener yg sampai tugas tsb itu saja yg ingin kami minta jelas
2100,
2101,mantaaapp tapi maaf mau tny utk biaya operasional sm pmeliharaan dari pemkot ya
2102,sapawargasby dear admin untung ganti e-ktp yg sudah mulai tidak jelas tulis syarat apa saja proses dan jangka waktu buat berapa lama
2103,ada yang tau ga rs hewan setail itu masih buka apa ga cc e100ss
2104,dengan hormat kami mohon info kena mohon surat terang domisili apakah bisa di layan lalu surabaya single window karena saya cari di website tetapi tidak ada pilih untuk urus domisili demikian dan terima kasih atas perhati hormat kami johanpt hosana immanueljl kebon rojo no 6-iisurabaya 60175tel 031-3533416
2105,sapawargasby bkn pak kan sdh rekam trusnkami minta hadir lg bbrp hari lg untuk kece data hasil rekam kata dgn antri ikut di loket b nah td paginsy mau ambik antri dl minta antri manual trus serah berkas nubggu lg panggil nama manual br ke loket nah apakah tidak bs antri itu online sehingga jg bs tau hrs dtg jam dan tanggal berapa gt kah
2106,min barusan kakakq ke camat jambang mau ngurus akte ini kq ada batas nomer antri cuma sampe 100 nomer ya lah ini aq mau ngurus g jadi wong info nomer sudah habis cz lagi kerja
2107,sapawargasby min panjang jalan nginden semolo daerah kali macet parah sejak minggu kemarin karena tebang pohon yang ranting batang pohon tidak segera bersih sebab macet luar biasa apa telah potong ranting biar berhari2 hingga kering
2108,min klo lahir dri dukun anak dan buku nikah orang tua sdh gk ada gmn
2109,mohon info jika ada kawan yang pernah urus akta lahir di mobil layan dispenduk yg keliling di tiap camat perlu bawa syarat apa saja e100ss sapawargasby
2110,emang ada ya
2111,mohon tunjuk sy isi mohon cabut sip dokter cara parsial online d web situ ada syarat ttg bap ketika sy download kenapa tidak ada yang bisa didownload sehingga akhir sy putus untuk selesai dg harap dapat didownload telah selesai malah tidak bisa masuk pada halaman tsb mohon tunjuk bagaimana bap sbg syarat cabut sip bisa sy dapat
2112,min web pemkot gak bisa akses ah ini kenapa invalid link webnya
2113,stlh kita daftar akta lahir via online di lurah dan sdh verifikasi oleh pihak lurah butuh waktu berapa lama akta lahir bs selesai mhn info mksh
2114,info layan apotik di rsud bdh begitu lambat shg mebuat pasien tunggu lama sdgkan ada bijak obat tidak boleh ambil besok lama ambil obat dgn obat lebih lama nunggu obat apalagi untuk obat racik kami alami jadi yg sungguh kecewa sdh tunggu lama ndak tahu obat racik kosong harus bisa sampai sejak dini dgn lihat stok obat shg tdk rugi pasien mohon respon dari pihak kait demi baik sama saran kami harus sdh mulai bagi dna buk lagi apotik yg baru untuk ambil obat dgn kelompok jenis sakit yang pasinnya banyak terima kasih
2115,
2116,sapawargasby min buat akta cara online disurabaya apa bisa kah kalo bisa bagi link dong min maturnuwun
2117,sapawargasby min mau tny utk urus akte lahir bayi urut bgmn ya suwun
2118,selamat siang saya norman dari koran jakarta post boleh saya minta rilis pers kait surabaya dapat lee kuan yew world city prize belum jam 6 sore kalo bisa terima kasih dan selamat normanharsono gmail com
2119,
2120,bu sayang ada yg pake mobdin tidak pada tempat masa ada anak kecil di hari kerja di bukan tempat kerja belioleholeh
2121,saya keluh dari kerja pegawai kantor camat gubeng yang tidak profesional dan mencla mencle belum idul fitri saya aju proses buat akte anak saya dari awal sudah ruwet tanggap awal saya arah ke kantor dispenduk untuk proses buat akte telah ke dispenduk saya arah kembali ke camat info untuk buat nanti daftar lewat amat dulu baru terus ke dispenduk telah itu saya kembali ke camat dengan sedikit tenaga ngotot untuk jelas baru pegawai camat beri form daftar dengan tambah saya harus ngelengkapi ini itu dulu plus biaya 100rb untuk keterlabatan singkat cerita semua sudah saya penuh dan dapat bukti ambil akte di 10hr depan telah idul fitri hari ini tepat hari yang janji hati saya senang bayang akte anak saya jadi tapi nyata kata ada berkas yang kurang dan saya suruh ngurus sendiri ke dispenduk hati saya dongkol tapi demi akte anak saya jalan ke dispenduk telah di dispenduk semua berkas saya bilang sudah sangat lengkap tidak ada kurang dan dari dispenduk proses aju ulang akte anak saya dan saya di kasih bukti ambil nanti di 7hari depan saya rasa jadi bola tendang kesana sini utama dari pihak camat gubeng mohon perhati nya pemkot surabaya khusus ibu tri risma ini bu ada staf sampean yang kurang paham sop management
2122,siang min saya mau tanya rincian alur pertanggungjawaban keluh ini bgmn ya lalu tuju kpd siapa saja lapor tsbt terimakasih sebelumya
2123,bu risma apakah ketika pak lurah sedang tidak di tempat tidak ada jabat atau plh yang bs wakil untuk tanda tangan surat antar ingat berkas surat antar yang sy butuh sifat urgent hal ini sbagaimana terang tugas lurah kertajaya bahwa pak lurah sedang ada di luar negeri dan berkas sy tahan hingga tunggu pak lurah kembali dan tidak ada jabat yang bs wakil mohon arahanya bu
2124,mau tanya latih tanam cara hidroponik di surabaya mana ya sapawargasby e100ss
2125,mohon informasi cara ngurus bpjs pbi sya dengar informasi kata harus ngurus sktm dulu dan foto
2126,saya sudah coba suroboyo bus untuk layan awak bus sudah cukup bagus sedikit masuk untuk tumpang yang diri baik arah tempat yang jauh dari pintu keluar masuk jika masih ada ruang utama pintu tengah yang dekat tempat duduk bagi sandang cacat agar tidak sulit naik turun bus terus aplikasi gob nya lot mohon bisa baik tapi untuk seluruh saya sangat terima kasih dengan pemkot surabaya yang perhati kaum difabel seperti saya demikian terimakasih
2127,
2128,min beda akun sapawargasby sama banggasurabaya itu apa ya nanyaserius
2129,ktp saya lumajang tetapi kerja disurabaya saya mau sewa rusunawa disurabaya bagaimana cara ya juga untuk urus surat domisili sementara kalau di waktu pulang kerja atau hari sabtu terima kasih
2130,e100ss sapawargasby sits dishubsby tanya utk dapat sertifikasi spek teknis buat rambu lalin kami hrs ke mana ya trm ksh
2131,sapawargasby min kalo pinjam buku di pustaka rungkut kalo kembali lambat emang ada denda nya yah min
2132,sapawargasby min mau tanya kalau urus perijinan teliti di dinkes kabupaten trenggalek bisa online tidak
2133,mohon info jadwal mobil layan keliling buat akte lahir sapawargasby e100
2134,wahh kec mampir kok gk ada ya
2135,kepada yth kepala pimpinankantor tanah kota surabaya 2jalan krembangan barat no 57pengaduan nurul 085749659341 saya dan beberapa warga lain punya bidang tanah dengan surat tok d dengan ukur 9x20m2 di wilayah kel tambak wedi kenjeran surabaya jawa timur yg turut rencana akan dampak proyek kerja selokan dan paving jalan lebar 7m bahwa pada saat beli sudah ada plot untuk jalan 5 m dan hadap barat namun sekarang tanah itu hadap ke timur dengan jalan hanya 3 meter dan akan lebar jadi 7 meter sehingga akan potong tanah kami panjang 4 meter sedngkan plot jalan 5 meter belah barat tanah kami sudah jadi mukim kami sudah musyawarah dengan urus rt rw dan lurah masih temu jalan buntu dan dari hasil musyawarah kami rekomendasi untuk lapor ke bpn dan minta surat rekomendasi atas tanah sebut mohon arah agar kami tidak rasa rugi karna kami bayar pajak dengan ukur tanah sebut
2136,jika ingin undang bu risma jadi bicara di kampus bagaimana cara ya
2137,ikut bangga dengan hasil sby btw jalan pake acara tutup ga ini kl tutup tlg info biar masyarakat yg lain jg bisa lewat jln alternatif thx
2138,bahan bakar bis suroboyo cecer di jalan bubut mulai depan bg junction beberapa kendara r2 jatuh peleset sapawargasby e100ss
2139,terus masalah pbb yg naik piye min aku masih belum bisa bayar soale min
2140,ki efek samping e bakal macet po ora min utama buat yg dr arah darjo lewat a yani ingat krn jam kerja
2141,untuk bus keliling untuk urus skck di kelurahan2 apakah tidak ada jadwal keliling nya jg
2142,mohon info ttg buat akta lahir di taman bungkul atau royal plaza bs dari pukul berapa e100ss sapawargasby
2143,saya domisili luar kota jombang mau urus ektp yg rusak saya baca diinternet jika urus ektp sifat nasional saya coba datang camat dekat dan dispendukcapil surabaya saya tolak mentah2 kenapa padahal sudah ada undang2 negara terima kasih
2144,bu risma saya mau keluh apakah kalo saya keluh unek2 saya akan baca bu risma krn ini demi warga surabaya saya cinta warga surabaya makanya saya peduli ini serius dan bisa kurang angka anggur warga surabaya
2145,nanya min e100ss barusan parkir di jl jagal telah minta beri karcis tapi aku ngga nemu tanggal nya itu apa emang tanpa tanggal
2146,salur air di dua sisi jalan tidak alir timbul bau busuk
2147,dishubsby sits dishubsby lantas surabaya mohon tertib langgar rambu larang henti depan karaoke happy puppy jl dr soetomo malah jd tempat parkir kalau tdk mampu lebih baik rambu copot saja cc sapawargasby
2148,iya bagi dong daftar acara
2149,infosurabaya sapawargasby air mancur jembatan surabaya tari nyala gak sih malam ini
2150,mohon informasi nik 3578122001930002 atas nama ahmad jalal faris progress ktp elnya bagaimana kali saya tanya ke camat selalu jawab belum selesai
2151,
2152,selamat siang ibu risma yg kami cinta bangga kami keluh proses buat ktp-el yg bolak-balik tdk tuntas 1 untuk proses rekam terbit ktp-el utk anak kami harus 5 kali datang ke siola karena turut tugas nik anak ke-1 ke-2 saya nyata ganda padahal saya milik kk yg saya milik no 3578080101082801 terbit oleh dinas dukcapil sby pd tgl 04-09-2012 pd masa rekam ktp-el 2 telah proses spt pd poin 1 atas kami lengkap ikut sesuai saran tugas antri lama panjang maka terbit suket a n anak ke-1 kami 3 kami urus suket anak ke-1 kami utk urus sim ybs 4 pd tgl 07-07-2018 kami urus sim anak ke-1 kami di kolombo telah ikut alur proses antri yg panjang di kolombo betapa kecewa kami karena proses urus sim anak kami tsb tdk bs diinput lanjut karena nik anak saya yg blm aktif scr online 5 akhir dg paksa agak berat hati kami urus aktivasi nik anak saya tsb ke ktr siola mana antri sangat panjang sehingga proses urus sim anak saya jadi hambat tunda karena tdk bs selesai pd hari ini 6 kami mohon bantu perhati ibu risma agar proses urus rekam aktivasi terbit ktp-el dpt lbh mudah tuntas tdk bolak-balik ke ktr siola karena masalah aktivasi atas perhati ken ibu risma kami ucap tks
2153,e100ss dishubsby sits dishubsby sapawargasby belakang ini banyak tjd biar langgar di merr banyak mobil parkir di rambu larang bikin macet parah motor2 bahkan mobil langgar masuk jln baruk utara i bahaya krn warga anggap arus arah sesuai rambu
2154,selamat pagi saya arum warga surabaya pada tahun 2016 media center saya aju tanya lalu media centersaya mohon untuk hapus foto ktp saya dari web karena saya khawatir akan ada orang yang akan manfaat terima kasih
2155,ini karcis parkir legal minn sapawargasby apa saya salah tempat parkir gak ada logo pemkot dishub terang harga dan lain nya di depan taman prestasi di depan pas mohon info
2156,ada teman yang tanya kalau ksk hilang urus mana dan syarat apa saja banggasurabaya sparklingsby ceritasby sapawargasby commandsurabaya
2157,e100ss sapawargasby saya ingin keluh kualitas layan kerja dari lurah kebraon saya sdh bolak-balik urus surat antar nikah tetapi data di formulir n1-n4 isi banyak yg salah sedang tugas sering parah warga apakah memang begini prosedur
2158,sapawargasby kalo boleh tahu armada suroboyo bus skr ada brp
2159,jalur hijau buat warga se bagai tempat tps dan bakar
2160,sapawargasby mau urus beasiswa ke dispendiksby1 tapi kendala skck yang syarat ktp betul yang sangkut belum punya ktp bgm solusi sdg besok batas akhir serah
2161,kesuen ya udah ngetwit aja lah akte lahir saya hilang saya mau ngurus piye ya cara nomer telpon dispendukcapil yang bisa dihubungin berapa sih dari tadi susah amat hubung 112 juga banggasurabaya commandsurabaya
2162,mohon informasi nik 35424110201880001 atas nama sugito pratama indra dan nik 3516056011920003 atas nama roro endah drestanti progress e ktpnya bagaimana sudah hampir tahun lebih belum terima fisik lurah kedurus camat karangpilang
2163,
2164,ini sampah hasil kerukan kali banyu urip belum angkut sejak lusa lalu kotor dan bau
2165,e100ss teman cacat umur hidup gara-gara lobang begini tolong ss bantuin forward ke pihak kait dong lokasi di intersection jl gg gembong dg jl gembong sawah
2166,klo akte hilang ketlisut apa bisa di urus sedang ktp saya sudah alamat pasuruan
2167,umpama kita kec pabean cantian tp hari ini gk sempat kesana apa bisa pergi ke camat lain
2168,bu walikota jangan biar aplikasi ini mandul waktu sosialisasi aplikasi ini kes sangat hebat dan bisa andal dalam deteksi dini hal yg tidak ingin saya ketua rt sangat ingin sekali aplikasi bisa fungsi dari rt 8 rw 1 dukuh kupang
2169,misal ktpnya camat asemrowo tapi ikut di camat pakal bisa ta min
2170,tdk semua camat ya min camat bubut koq ga ada min
2171,kalau untuk camat bubut latih mana min
2172,urus ahi waris tidak selesai karena pak camat ganti bagaimana cara untuk selesai ini
2173,
2174,dulur mau tanya mobil keliling akta lahir camat tambak sari kira kapan jadwale
2175,
2176,siang maaf mau tanya kk yang lama saya tidak ada nama orang tua dan saya baharu kk dan di dalam kk yang baru ada nama orang tua tapi nama ibu saya beda sedang akte lahir saya hilang tanya saya bagaimana dan cara urus akte dan kk saya yang nama ibu bedamohon bantuanya dan terima kasih
2177,sapawargasby udah lanjur ijin gak kerja mau urus surat pindah di lurah rungkut kidul tapi gak di layan karena ada halal bihalal
2178,sapawargasby mohon info min untuk panjang siup dalam sistem ssw kok tidak ada ya yang tera hanya baru ubah dan ganti betul jangka waktu sudah habis terima kasih
2179,sapawargasby min info dong klo ada gelandang yg ganggu hubung siapa ya
2180,dapat inform dr wa seperti ini mohon ricek benar atau tidak e100ss banggasurabaya sparklingsby ceritasby sapawargasby commandsurabaya
2181,punya saya juga ektp plastik kelupas tulis ikut di plastinya trus saya isolasi di keliling kata tugas di siola bilang masih laku gak perlu ganti dgn yg baru benar
2182,mohon solusi mau ambil e ktp aja kok 10 bulan dari kec krembangan ke dispenduk kemudian arah ke kec bubut suruh nunggu sms dr pak camate tp gk ono smse piyeeeeeeee
2183,saya dapat surat edar dari pln kena ganti meter listrik apakah memang benar
2184,mohon bantu bu risma untuk ambil e ktp di camat bubut warga suruh nunggu sms dari camat tp kok lama gk ada smsnya maaf darurat bu risma
2185,kok malah salah nomer infosurabaya tri rismaharini 112
2186,ada rambu tunjuk arah pasang di tiga jl sedap malam dan jl jimerto depan masjid muhajirin pemkot sby ada yg salah dg rambu tsebut mana terang bagi perintah letak di lantai 1 gedung pemkot jl jimerto padahal kan letak di lt 5 mohon koreksi lagi trm ksh foto lampir
2187,kalau ktp elektronik plastik tulis kelupas dan rusak apakah bisa minta cetak lagi terima kasih informasi
2188,min apakah ketua karang werdha itu harus orang tua atas 60 sapawargasby banggasurabaya
2189,e100ss baru tau kalo parkir di ruko depan hotel citihub jln gub suryo atau jl tunjung surabaya mahal banget ya 5 menit renti bayar 6 rb hehe yo wis kadung
2190,e100ss baru tau kalo parkir di surabaya mahal banget ya 5 menit renti bayar 6 rb hehe yo wis kadung
2191,saya kemarin ke rw 4 lurah wonokromo camat wonokromo dari sana tugas rw nya kurang ramah layan juga kayak tidak niat layan terus pas saya akhir aju tanya jawab ada sambil nonton tv saya aju tanya tentang syarat aju ke lurah dan nyata jawab yg beri itu kurang dan saya akhir bolak balik hari kemudian untuk lengkap berkas karena saya ada kerja
2192,mohon tunjuk sy isi mohon cabut sip dokter cara parsial online d web situ ada syarat ttg bap ketika sy download kenapa tidak ada yang bisa didownload sehingga akhir sy putus untuk selesai dg harap dapat didownload telah selesai malah tidak bisa masuk pada halaman tsb mohon tunjuk bagaimana bap sbg syarat cabut sip bisa sy dapat data mohon no 38577 femmy magdalena punu
2193,
2194,selamat pagi saya ingin lapor kena buat e-ktp saya yang tidak kunjung selesai awal saya laku buat ktp biasa karena saat itu mesin tidak bisa untuk laku rekam data untuk e-ktpkemudian saya minta untuk kembali lagi laku rekam e-ktp di camat saya tetapi telah sudah laku rekam e-ktp saya tidak kunjung selesai padahal orang bilang dalam waktu 6 bulan e-ktp paling lama selesai tapi sudah lebih dari 6 bulan masih belum ada kabar kena e-ktp saya dan juga saya sudah cek di http dukcapil kemendagri go id ceknik data e-ktp saya masih belum cantum kemudian saya coba contact dengan orang camat saya suruh laku antri cetak e-ktp lagi solusi untuk masalah ini gimana ya apa saya langsung ke siola bawa surat ijin dari camat saya seperti ragu untuk minta surat ijin dari camat karena lambat proses kerja sebut
2195,
2196,selamat pagi air pdam daerah rumah saya jagir sering sekali mati dan kalaupun nyala alir airn a sangat kecil dan juga warna kotor dan bau bahkan jika biar endap tanah sangat banyak hampir tiap hari saya uras dan endap dulu belum pakai biar ngga gatal sangat tidak nyaman saya mohon utk segera ditindaklanjuti dan benah hal ini terimakasih
2197,
2198,assalammualaikum yth buat bpak ibu tolong dong pngerjaan pipa pdam yg bocor di jl kapas krampung di maksimal karna tiap hari selalu dan selalu sebab macet yg makin parahwassalammualaikum wr wb
2199,
2200,maaf bu tri rismaharini bau sampah di benowo akhir kok begitu sengat sangat siksa kami e100ss
2201,kapan di tambal yg bagus sudah lama itu gali pipa ada 1-2 minggu ganggu macet lalu lintas
2202,saya pada tanggal 2 juli 2018 obat ke puskesmas kedungdoro pada jam 16 00 wib saya waktu itu tidak masuk kerja karena sakit kerja saya 12 jam saya obat ke sana dan antri kepada tugas daftar saya minta surat sakit surat obat karena saya hari itu tidak masuk kerja dan tugas daftar pun kata sini ndak jual surat sakit dengan judes lalu saya bilang kalau saya juga ingin obat bukan beli surat sakit telah antri saya akhir ke bagi tensi dan saya bilang minta surat obat sakit dan beliau bilang yang tentu dokter dengan judes lalu saya di panggil dokter dan di periksa dokter meriksa ala kadar saja padahal keluh saya batuk panas pilek sesak nafas dan lemas lalu saya minta surat obat sakit ke dokter karena saya tidak masuk kerja dokter iya tetapi stlah saya terima obat saya tidak kasih surat obat keluh saya kenapa saya tidak kasih surat obat padahal untuk ke puskesmas saya harus antri dan kerja saya 12 jam di puskesmas dr soetomo saja saya kasih kalau memang tidak boleh ya jangan judes seperti itu layan payah parah dokter yang meriksa kes terburu2
2203,
2204,sapawargasby malam dulur saya numpang tanya apakah proyek kerja underpass satelit itu henti lama mangkrak begitu saja karena tiap hari jam pulang kerja macet lho situ
2205,lapor sapawargasby banggasurabaya tolong di evaluasi kembali di tempat rekam ktp-el di siola sekarang ini jadi tumpu yang begitu lama karena loket hanya 2 dan sekarang yang jalan hanya 1 loket saja mohon untuk di baik dan tambah loket terima kasih
2206,saya andry warga kel mojo mau ikut latih internet mohon info jadwal latih terima kasih
2207,
2208,saya andry warga kel mojo mau ikut latih internet mohon info jadwal latih terima kasih
2209,
2210,sapawargasby pagi min bisa informasi untuk pbb keliling hari ini bisa jangkau di daerah mana saja terima kasih
2211,sudah 5 hari telah pasu dokumen aju skrk untuk ngagel tama v no 1 tapi belum ada konfirmasi jadwal ukur dari dinas dpbt surabaya namun malah dapat konfirmasi tolak mohon skrk dengan alas beda ukur persil di surat ijin pakai tanah dengan kondidi eksisting di lapang padahal belum pernah di laku survey dari pihak dpbt sudah saya telepon ke dpbt namun sampai saat ini belum ada sms konfirmasi kapan akan laku survey mohon untuk bantu mudah pelayananya kita mau me legal kan malah di sulit terimakasih
2212,tukar botol untuk tiket suroboyo bus bisa laku mana min sapawargasby
2213,untuk lapor ini harus mana ya bpjs pusatslmt anda t dftr penerimahdana bantu bpjs rp 47jtuntuk ambil dana andakunjungi www dana-bantuan gq
2214,
2215,sapawargasby selamat siang minggu kemarin ada 3 celaka yang jadi di jalan indrapura celaka akhir yg libat sepeda motor dan kendara sebab 1 penyebrang tinggal dan kendara sepeda motor kritis apakah tidak ada tindak lanjut ingat di jalan indrapura ta myriah hinggal tiga rajawali sering jadi celaka akibat kendara yg cepat tinggi mungkin bisa di beri pita kejut dengan jarak tentu panjang jalan indrapura terima kasih
2216,sapawargasby min tnya donk utk naik bus suroboyo tukar tiket dmn ya trs bsa naik dr mna aja sama misal saya bawa 15 botol besar gt apa d terima semua
2217,sapawargasby tolong itu jalan baru yang depan rsi lubang selokan jaduk lah kalau buat jalan di poles lagi
2218,catat air di rumah saya ngawur mohon koreksi terima kasih
2219,sore saya agus setiawan dari univ muh magelang besok akan kunjung ke dinas bersih dan ruang buka hijau alamat mana ya
2220,sore saya agus setiawan dari univ muh magelang besok akan kunjung ke dinas bersih dan ruang buka hijau alamat mana ya
2221,ini tempat di ruko restorannyaa apakah tidak boleh
2222,
2223,apa tidak ada yg wakil lurah buat tanda tangan saya ngurus surat mau nikah sampai ijin kerja 3 hari ini dan bsk ijin kerja lagi karena lurah hari ini tidak ada di lurah puskesmas ambil darah 1 haripenyuluhan dan hasil 1 hari lurah nyerahkan berkas 1 hari dan tunggu tanda tangan 1 hari karena lurah gak ada di tempat belum lagi ke kua nya apa saya harus ijin berhari2 di tempat kerja klo saya di pecat sapa yg tanggung jawab
2224,yth 1 wali kota surabayau b bu risma2 kepala bkd kota surabaya3 kepala dispendik kota surabayau b bapak ikhsan4 sekretaris dispendik kota surabayau b bapak astonselamat pagi menindaklanjuti perintah dari bu agnes selaku kepala bidang didik dasar dinas didik kota surabaya 1 agar pns jaga sekolah di sdn kebraon i 436 surabaya yang jaga malam adalah pak agus suprijanto bukan pak asik pak yuda jaga pagi s d sore pak andik libur 2 hari mulai senin-selasa 18-19 juni 2018 karena sudah jaga mulai hari jum at 15 juni 2018 s d bu agnes sidak 2 jika pns jaga sekolah tidak datang segera di lapor ke dispendikpns jaga sekolah pak agus suprijanto juga sudah sebar tulis rasa benci rasa musuh rasa kekewatiran karena pak agus suprijanto suka lapor dengan guna kaki tangan lsm wartawan rasa ketidakadilan rasa senjang sosial tidak disiplin kerja suka tidak di aktif handphonenya sehingga kepala sekolah tidak bisa beri intruksi kerja senin 18 juni 2018 bagaimana ada di 1 uu 5 2014 tentang aparatur sipil negara2 pp 42 2004 tentang bina jiwa korps kode etik pns3 pp 53 2010 tentang disiplin pns4 pp 11 2017 tentang manajemen pnssolusi yang kami minta selaku perhati dunia didik sbb 1 pak agus suprijanto pindah ke sdn smpn di luar camat karangpilang agar tidak cari pns tenaga kontrak lain atas kerja bagai shock terapi buat pns lain yang tidak di siplin 2 pak agus suprijanto tetap di skpd dispendik kota surabaya atau pindah ke skpd lain di lingkup pemkot surabaya 3 tolong pak agus suprijanto jangan di pecat dari pns karena dia belum punya rumah anak banyak anak belum ada yang jadi alias hidup anak masih gantung sama ortunya kecuali langgar berat dan fatal silah di pecat dari pnsnya ini saya lampir screenshoot dari teman dan sengaja nama saya kabur dan saya siap buka dan beri terang jika perlu di adil
2225,cuma penasaran kanapa cc nya ke pdamsurabaya bukan ke dinas yg tugas baik jalan
2226,mohon bantu informadi apakah aju ijin tdup untuk kafe restoran bila atas nama pt semua ijin sertifikat tempat usaha dan imb nya harus juga ats nama pt
2227,
2228,mohon bantu informadi apakah aju ijin tdup untuk kafe restoran bila atas nama pt semua ijin sertifikat tempat usaha dan imb nya harus juga ats nama pt
2229,
2230,waduh nyata masuk smpn 10 surabaya ikut jalur mitra warga sangat besar biaya kata gratis nyata omong kosong bukti saya harus beli kain seragam saja harus bayar 2 300 000 belum nanti njahitkan waduh ini benar oknum apa atur kenapa tentu seperti itu tidak terap dari awal daftar jalur mitra warga dan kenapa terap saat mau masuk sekolah terus kalau orang tua murid yg gak mampu beli kain seragam dengan nominal besar itu apa harus keluar dan daftar di smp swasta lain dan bangku yg tinggal pasti akan jual belikan bagi golong yg mampu moga ibu kami ibu risma bisa dan mau bantu kami dan yg lain amiin
2231,sapawargasby mohon info gimana carax untuk bisa city tour dg surabaya bus suwun
2232,min mau nanya kalau mau buat ktp baru apa saja min yang perlu bawa lalu kalau di siola berapa lama ya min proses buat
2233,
2234,mhn tanya tunjuk air mancur jembatan suroboyo jam berapa hari apa
2235,sapawargasby e100ss tl di bawah layang pasar kembang tuju dipo ada mibil parkir persis di tanda larang parkir sangat ganggu untung hari minggu agak sepi
