,keluhan_clean
1821,min ketua karang werdha harus orang tua atas 60 sapawargasby banggasurabaya
1822,e100ss baru tau kalo parkir ruko depan hotel citihub jln gub suryo jl tunjung surabaya mahal banget 5 menit renti bayar 6 rb hehe yo wis kadung
1823,e100ss baru tau kalo parkir surabaya mahal banget 5 menit renti bayar 6 rb hehe yo wis kadung
1824,kemarin rw 4 lurah wonokromo camat wonokromo sana tugas rw nya kurang ramah layan kayak niat layan terus pas akhir aju tanya jawab sambil nonton tv aju tanya syarat aju lurah nyata jawab yg beri kurang saya akhir bolak balik hari kemudian lengkap berkas saya kerja
1825,mohon tunjuk sy isi mohon cabut sip dokter cara parsial online d web situ syarat ttg bap sy download yang didownload akhir sy putus selesai dg harap didownload selesai malah tidak masuk halaman tsb mohon tunjuk bagaimana bap sbg syarat cabut sip bisa sy data mohon no 38577 femmy magdalena punu
1826,selamat pagi ingin lapor kena buat e-ktp yang kunjung selesai awal laku buat ktp biasa saat mesin bisa laku rekam data e-ktpkemudian minta kembali laku rekam e-ktp camat tetapi laku rekam e-ktp tidak kunjung selesai padahal orang bilang waktu 6 bulan e-ktp paling lama selesai sudah lebih 6 bulan kabar kena e-ktp dan sudah cek http dukcapil kemendagri go id ceknik data e-ktp masih belum cantum kemudian coba contact orang camat suruh laku antri cetak e-ktp solusi masalah gimana apa langsung siola bawa surat ijin camat saya seperti ragu minta surat ijin camat lambat proses kerja sebut
1827,selamat pagi air pdam daerah rumah jagir sering sekali mati kalaupun nyala alir airn a sangat kecil juga warna kotor bau bahkan biar endap tanah sangat banyak hampir tiap hari uras endap dulu pakai biar ngga gatal sangat nyaman mohon utk segera ditindaklanjuti benah ini terimakasih
1828,assalammualaikum yth buat bpak ibu dong pngerjaan pipa pdam yg bocor jl kapas krampung maksimal karna tiap hari selalu selalu macet yg makin parahwassalammualaikum wr wb
1829,maaf bu tri rismaharini bau sampah benowo akhir kok sengat sangat siksa e100ss
1830,kapan tambal yg bagus lama gali pipa 1-2 minggu ganggu macet lalu lintas
1831,tanggal 2 juli 2018 obat puskesmas kedungdoro pada jam 16 00 wib waktu masuk kerja sakit kerja 12 jam obat sana antri tugas daftar minta surat sakit surat obat hari masuk kerja tugas daftar kata sini ndak jual surat sakit judes lalu bilang kalau juga obat bukan beli surat sakit antri akhir bagi tensi bilang minta surat obat sakit beliau bilang tentu dokter judes lalu panggil dokter di periksa dokter meriksa ala kadar padahal keluh batuk panas pilek sesak nafas lemas lalu minta surat obat sakit dokter tidak masuk kerja dokter iya stlah terima obat tidak kasih surat obat keluh kenapa saya tidak kasih surat obat padahal ke puskesmas saya harus antri kerja saya 12 jam di puskesmas dr soetomo saya kasih kalau memang tidak boleh jangan judes itu layan payah parah dokter meriksa kes terburu2
1832,sapawargasby malam dulur numpang tanya proyek kerja underpass satelit henti lama mangkrak saja tiap hari jam pulang kerja macet lho situ
1833,lapor sapawargasby banggasurabaya evaluasi di tempat rekam ktp-el di siola sekarang jadi tumpu begitu lama loket 2 sekarang jalan 1 loket mohon di baik tambah loket terima kasih
1834,andry warga kel mojo mau ikut latih internet mohon info jadwal latih terima kasih
1835,andry warga kel mojo mau ikut latih internet mohon info jadwal latih terima kasih
1836,sapawargasby pagi min informasi pbb keliling hari bisa jangkau daerah mana terima kasih
1837,5 hari pasu dokumen aju skrk ngagel tama v no 1 konfirmasi jadwal ukur dinas dpbt surabaya malah konfirmasi tolak mohon skrk alas beda ukur persil surat ijin pakai tanah kondidi eksisting lapang padahal pernah laku survey pihak dpbt saya telepon dpbt sampai ini belum ada sms konfirmasi kapan laku survey mohon bantu mudah pelayananya mau me legal kan malah sulit terimakasih
1838,tukar botol tiket suroboyo bus laku mana min sapawargasby
1839,lapor harus mana bpjs pusatslmt t dftr penerimahdana bantu bpjs rp 47jtuntuk ambil dana andakunjungi www dana-bantuan gq
1840,sapawargasby selamat siang minggu kemarin 3 celaka jadi jalan indrapura celaka akhir yg libat sepeda motor kendara 1 penyebrang tinggal kendara sepeda motor kritis tidak tindak lanjut ingat jalan indrapura ta myriah hinggal tiga rajawali sering jadi celaka akibat kendara yg cepat tinggi mungkin di beri pita kejut jarak panjang jalan indrapura terima kasih
1841,sapawargasby min tnya donk utk naik bus suroboyo tukar tiket dmn trs bsa naik dr mna aja sama misal bawa 15 botol besar gt apa d terima semua
1842,sapawargasby itu jalan baru depan rsi lubang selokan jaduk lah kalau buat jalan poles
1843,catat air rumah ngawur mohon koreksi terima kasih
1844,sore agus setiawan univ muh magelang besok kunjung dinas bersih ruang buka hijau alamat mana
1845,sore agus setiawan univ muh magelang besok kunjung dinas bersih ruang buka hijau alamat mana
1846,tempat ruko restorannyaa tidak
1847,apa yg wakil lurah buat tanda tangan ngurus surat mau nikah ijin kerja 3 hari bsk ijin kerja lurah hari tidak lurah puskesmas ambil darah 1 haripenyuluhan hasil 1 hari lurah nyerahkan berkas 1 hari dan tunggu tanda tangan 1 hari karena lurah gak ada di tempat lagi kua nya apa harus ijin berhari2 di tempat kerja klo di pecat sapa yg tanggung jawab
1848,yth 1 wali kota surabayau b bu risma2 kepala bkd kota surabaya3 kepala dispendik kota surabayau b bapak ikhsan4 sekretaris dispendik kota surabayau b bapak astonselamat pagi menindaklanjuti perintah bu agnes selaku kepala bidang didik dasar dinas didik kota surabaya 1 pns jaga sekolah sdn kebraon i 436 surabaya jaga malam pak agus suprijanto bukan pak asik pak yuda jaga pagi s d sore pak andik libur 2 hari mulai senin-selasa 18-19 juni 2018 sudah jaga mulai hari jum at 15 juni 2018 s d bu agnes sidak 2 pns jaga sekolah datang segera lapor dispendikpns jaga sekolah pak agus suprijanto sudah sebar tulis rasa benci rasa musuh rasa kekewatiran pak agus suprijanto suka lapor guna kaki tangan lsm wartawan rasa ketidakadilan rasa senjang sosial disiplin kerja suka aktif handphonenya kepala sekolah bisa beri intruksi kerja senin 18 juni 2018 bagaimana 1 uu 5 2014 aparatur sipil negara2 pp 42 2004 bina jiwa korps kode etik pns3 pp 53 2010 disiplin pns4 pp 11 2017 manajemen pnssolusi kami minta selaku perhati dunia didik sbb 1 pak agus suprijanto pindah sdn smpn luar camat karangpilang cari pns tenaga kontrak atas kerja bagai shock terapi buat pns tidak siplin 2 pak agus suprijanto tetap skpd dispendik kota surabaya pindah skpd di lingkup pemkot surabaya 3 pak agus suprijanto jangan di pecat pns dia punya rumah anak banyak anak ada yang jadi alias hidup anak gantung sama ortunya langgar berat fatal silah di pecat pnsnya lampir screenshoot teman sengaja nama saya kabur saya siap buka beri terang perlu di adil
1849,cuma penasaran kanapa cc nya pdamsurabaya bukan dinas yg tugas baik jalan
1850,mohon bantu informadi aju ijin tdup kafe restoran bila atas nama pt semua ijin sertifikat tempat usaha imb nya juga ats nama pt
1851,mohon bantu informadi aju ijin tdup kafe restoran bila atas nama pt semua ijin sertifikat tempat usaha imb nya juga ats nama pt
1852,waduh nyata masuk smpn 10 surabaya ikut jalur mitra warga sangat besar biaya kata gratis nyata omong kosong bukti beli kain seragam harus bayar 2 300 000 nanti njahitkan waduh benar oknum apa atur tentu terap awal daftar jalur mitra warga kenapa terap mau masuk sekolah terus kalau orang tua murid yg gak mampu beli kain seragam nominal besar itu apa harus keluar daftar smp swasta dan bangku yg tinggal akan jual belikan golong yg mampu moga ibu ibu risma dan mau bantu dan yg amiin
1853,sapawargasby mohon info gimana carax bisa city tour dg surabaya bus suwun
1854,min mau nanya kalau mau buat ktp baru apa min perlu bawa lalu kalau siola berapa lama min proses buat
1855,mhn tanya tunjuk air mancur jembatan suroboyo jam berapa hari apa
1856,sapawargasby e100ss tl bawah layang pasar kembang tuju dipo mibil parkir persis tanda larang parkir sangat ganggu untung hari minggu sepi
1857,min mau nanya kalau mau buat ktp baru apa aja min perlu bawa lalu kalau siola berapa lama min proses buat sapawargasby
1858,sapawargasby ken takon fungsi ne endog2an pinggir dal opo min banggasurabaya e100ss sits dishubsby
1859,info jadwal berangkat donk bus merah pemkot surabaya yg nge-hits
1860,taman surabaya kok banyak sampah sapawargasby
1861,temu lansia lantar demensia sutrisno usia 63 thn ciri tuna wicara alamat kupang gunung barat 1 1 -c rt 008 009 kel desa putat jaya kec sawah kota surabaya jawa timur ini di psbi bd2 cipayung jakarta timur hub 085715331013 wendy
1862,keluarga coba naik suroboyo bus hari bus nyaman jalan purabaya sayang bus ngetem lama purabaya satu jam-an 11 35-12 39 dgn ac on pintu buka terminal ada jelas apa dr awak bus jalan purabaya dalam bus asa pengap mungkin krn tdk semua salur ac buka ide suroboyo bus bagus layan terus tingkat jaga
1863,sapawargasby min tadi 5orang ada perempuan2 1berbadan tegap minta sumbang paksa jl tegalsari padahal kntr http libur search by google tipu dimana2 langsungbtembak 100rb
1864,cc sapawargasby banyak yg komplain nih sejak bulan desember kok belum tangan aspal kan tho lintas yg gak nunggu pake besi baja lintas jl ketintang aja aspal aluss
1865,sapawargasby mau tanya masalah suket ganti ktp suket anak hilang sudah lebih 6 bulan mau urus ktp camat minta srt hilang dr polisi apa benar hrs pdhl suket sdh hbs masa laku mhn jelas trims
1866,beasiswa mksdx bgmn min tanggung sepenuh smpe lulus bgmn
1867,selamat pagi adik bpk gunawan yg jadi duduk surabaya tinggal jl gubeng kertajaya 2 e kakak sakit jakarta beliau utus pergi surabaya minta tanda tangan rt rw lurah camat bawa surat terang sudah ttd kakak atas materai 6000 tetap bisa tanda tangan alasna beda rt rw lurah tsb memang begitu sulit urus surat nyata waris surabaya dg ada kejelasna yg
1868,panjang jalan kapas krampung traffic light banyak lubang sangat bahaya semua jenis kendara mohon segera ditindaklanjuti terima kasih
1869,asa mahal banget biaya daftar ulang smk negeri 2 utk anak hampir capai 2 juta lebih masuk utk seragam spp bln juli gimana lok begitu
1870,kapan lagi
1871,dong jalan kapas krampung lampu merah kazza city jalan lubang parah hampir 2 minggu ada genang air apa nunggu ada korban dulu baru baik e100ss
1872,selamat pagi terima kasih atas wadah adu warga surabaya saya tanya perihal parkir mobil daerah semolowaru selatan gang 10 warga milik mobil selalu parkir kendara pinggir jalan sangat menggangu warga karena ini rupa jalan umum milik sama harus fasilitas umum jadi hak milik pribadi bagai parkir alas milik garasi keluh sampai ketua rt tidak tanggap mohon solusi terima kasih jika mungkin mohon tindak lanjut
1873,jalan rusak dapat genang air kapas krampung
1874,tanya prosedur syarat dapat bangku kosong smkn 8 jurus hotel terima kasih media center
1875,nenek minggu lebih dapat jatah makan lansia bagai ganti beri kompensasi uang jumlah 50 ribu memang benar nenek nama hj sofiah alamat jl tukang 1 19 sby
1876,mau tanya kena ijazah smk anak yg msh tahan pihak kolak krn sy blm lunas uang bayar sy sdh minta bantu walikota lewat surat tp skr msh tdk realisasi
1877,jalan lubang jln kebraon camat karang pilang sangat parah sebab kendara gelincir
1878,nenek minggu lebih dapat jatah makan lansia bagai ganti beri kompensasi uang jumlah 50 ribu memang benar nenek nama hj sofiah alamat jl tukang 1 19 sby
1879,klo tidak acara reog bagai masih tetap bayar
1880,mau tanya benar minta rujuk puskesmas ronsen bisa
1881,kendara arah selatan sedang henti lampu merah kendara jl kapuas masih henti lampu merah sebab kendara 2 arah sebut bingung cc sits dishubsby e100ss sapawargasby
1882,banggasurabaya mau tanya ada tugas kuliah utk tahu inovasi layan publik kota surabaya ambil puskesmas benowo utk ijin apa hrs tanya instansi terlbh utk diperblhkn tdk saya lgsg kasih surat izin humas puskesmas benowo lgsg
1883,sapawargasby halo nama kristina sudah sign up mediacenter surabaya instruksi konfirmasi email tidak kirim lama 2 hari mohon bantu kendala terima kasih
1884,mhn tanya tunjuk air mancur jemb soroboyo jam brp hari apa
1885,mau tanya status panjang siup nomor 30142 th 2018 sudah selesai pak
1886,mas laku rekam e-ktp
1887,min mau nanya utk nauk jembatan kecil atas jembatan suroboyo harus bayar 10 000 malam minggu kemarin mau naik yg naik retribusi pakai seragan biru tulisane thp kenjeran
1888,taman harmoni sayang tpt main anak ny yg rusak ke situ tiap hr minggu krn rumah deket taman ny jg g awat sapawargasby
1889,pohon jl rungkut asri tengah terlalu lebat mohon laku ramping terima kasih
1890,min dinas duduk catat sipil hari tutup jam brp mau urus ktp el yg data kliru
1891,surat terang maksud benar yang lampir mohon konfirmasi masak cetak ktp tahun selesai
1892,sapawargasby kok tutup sih jogging track nya padahal jogging bagus nya pas pagi loh kalo nunggu jam 8 udah panas
1893,kalo mau ikut buka lowong kerja bagaimana cara
1894,cara kartu ak1 gimana min
1895,mau tanya lahir surabaya akta lahir buat surabaya saat akta lahir hilang posisi sekarang kerja jakarta barat mau tanya apabila urus akta lahir apakah balik surabaya bisa urus dispenduk jakarta barat saya ingin meni nikah jakarta saya harus lampir dokumen akte lahir mohon di bantu terima kasih
1896,mohon pemkot atur tegas izin diri portal tutup jalan jangan rugi orang belum rasa ada keluarga masuk ugd susah buka portal mohon portal jalan bintang diponggo arah smpn 46 bongkar portal dukuh kupang timur arah kantor lurah pakis bongkar
1897,sapawargasby e100ss mohon info surabaya bus hari apakah operasi
1898,warga margorejo undang pulkada klo mau mulih tidak tahu tps mana akhir suara bisa manfaat oknum saya dengar beberapa warga tidak dapat undang mohon perhati tidak manipulasi suara terima kasih
1899,mgkn perlu kaji ulang utk jalur utama ry darmo waktu ijo tambah waktu merah rang infosurabaya rtmcjatim sapawargasby
1900,selamat malamuntuk e-ktp yg nomor pudar hampir baca bisa ganti dispendukcapil
1901,mgkn wrg yg pny file tau mksd dr 4 poin dok atau yg tau contact dispendukcapil sby sapawargasby
1902,sapawargasby mgkn yg pny cnth surat jamin tinggal jamin kerja urus dok pindah datang dr luar kota sby krn website dispendukcapil sby file tdk sedia trimakasih
1903,selamat sore kalo mau bikin e ktp ktp lama hilang ga laku apa langkah2 yg harus laku kartu keluarga sudah ada tinggal daerah camat bubut terima kasih atas jawab
1904,slamat sore d putus tanggal 27juni 2018 hari libur nasional hubung dng pilkada kenapa ada instansi yg beroprasional trus bagaimana hak pilih karyawan pilkada jatim ada sanksi instansi trsebut
1905,sapawargasby kalau mau diri lab kalibrasi ada izin khusus pemkot mohon bantu
1906,min mau tanyaapakah besok miniagrowisata milik dinas tahan pangan tani pemkot buka
1907,sapawargasby sore admin sudah register account surabaya media center web alami kendala sejak 5 hari buat acc blm email konfirmasi shg tdk login bagaimana solusi terima kasih
1908,tanya lurr e100ss sapawargasby kalo hilang stnk trus mau urus cara gmn maturnuwun
1909,sapawargasby pju mati jl nginden semolo tepat depan supermarket superindo panjang pju depan smk untag empat terminal bratang tdk terus lampu led warna putih terimakasih
1910,media center saviria warga siwalankerto surabaya pagi kontak media center via sms hotline telpon hotline belum feedback saya info mana saya minta bantu u kece ada indikasi ular liar masuk pekarang rumah apakah harus ke madam bakar mana mohon informasi segera terima kasihsaviria085843830434
1911,mohon tanya ktp hilang prosedur mohon ktp baru bagaimana langsung dispenduk mulai awal ke rt rw
1912,selamat pagi admin sapawargasby mau nanya ga bikin akte lahir anak tp org tua pisah kk terima kasih min
1913,sapawargasby mohon info dong min kalau stasiun sidoarjo hotel utami angkot kendara umum yg langsung henti depan hotel suwun
1914,sapawargasby ingin lapor selokan sumbat daerah siwalankerto selokan ada dekat apotek siwalan segera ditindaklanjuti jadi banjir
1915,traffic light a yani depan sma kemala bhayangkari keras suara bunyi cc sits dishubsby sapawargasby
1916,sapawargasby selamat pagi min urus surat terang mati apabisa laku siola
1917,rambu lalu lintas tutup ranting pohon rambu lihat jelas
1918,pju terang jalan umum jl ikan dorang-perak barat depan kantor pt rutan tidak terang redup suram cukup bahaya jalan ingat jalan jl ikan dorang rupa belok arah perak mohon dapat ditindaklanjuti nyaman warga terima kasih
1919,salam jadwal oprasional balai rt rw lebaran mulai beroprasi tanggal berapa karna tadi sore ke balai rw urus surat kok tutup masih libur terima kasih
1920,dulur sapawargasby mohon info tempat makam hewan mana
1921,proyek lambat mangkrak jl jarak banyak debu mengangu warga
1922,jalan lubang jalan dharmahusada indah ii bahaya guna jalan utama kendara sepeda motor tidak lihat lubang situ
1923,sapawargasby sodara sy sedang urus akta waris lurah tambaksari tp sulit pdhl info akhir birokrasi benah mudah mhn arah bantu
1924,jalan rusak jalan sidodadi depan ekspedisi barokah samping soto ayam cak bowo
1925,surat terang barcode apa min mohon cerah matur nuwun
1926,jalan kurang rata bolong - bolong
1927,barusan lewat jl biliton trotoar baru lebar depan ud sukoharjo dipake parkir mobil parkir arah jalan di atas trotoar eman trotoar nek rusak yok opo sapawargasby e100ss
1928,beri informasi dapat jalan rusak berlobang jalan masjid al-akbar utara lapor banyak mobil motor hindar lobang dan buat kendara arah lawan henti dadak di karena beri jalan
1929,banggasurabaya halo min mau tanya suroboyo bus jalan biasa karena jatim expo tutup jd mungkin ganggu rute nya trims
1930,nhaa hayoo jawapos gmn pemkot sby e100ss jawapos sapawargasby
1931,pagi mind e100ss sapawargasby listrik wilayah rw02 tembok gede ini padam apa benar ada madam
1932,baik jalan lubang panjang jl jagir wonokromo mulai depan kantor dirjen pajak di ujung empat
1933,lubang cukup besar empat jalan tenggilis tuju jalan raya kendangsari tepat depan ruko walaupun hujan air selalu genang sana
1934,lubang jalan raya mayan besar ban mobil bendol langsung padhalan cepat nyetirnya
1935,banyak lubang kecil aspal pecah panjang jalan jagir wonokromo beberapa titik aspal rata naik-turun juga beberapa titik aspal baik tidak cara seluruh timbul lapis aspal baru sebab kondisi jalan naik-turun ingat jalan sebut sering pakai aktivitas kendara motor masyarakat kota surabaya aktivitas hari rupa salah satu jalan alternatif mohon pihak perintah kota segera baik kondisi jalan sebut tidak menganggu aktivitas masyarakat lalu jalan sebut
1936,e100ss lampu pju panjang jalan kertajaya indah banyak yg padam yg nyala cuma 30 nya tolong ke kawan dishub pematusan
1937,jalan bolong empat
1938,sapawargasby min mau tanya jadwal bus jurus sby-jepara bungurasih jam berapa aja thks
1939,jln lubang dapat bahaya jalan utama sepeda motor jalan lubang di depan salon toko bangun
1940,jalan rusak jl siwalankerto timur 147 depan photocopy srikana jayamohon segera benar bahaya guna motor warga karena lewat motor dapat akibat celaka tidak terlalu kuat pegang
1941,dan suami urus ktp baru meni ktp dan suami e ktp urus camat wonokromo november 2017 tugas e ktp camat wonokromo nama ibu kartini kata ktp jadi bulan april 2018 sampai juni 2018 ktp belum jadi di janji pada juli 2018 padahal sudah tunggu lebih tengah tahun tugas sebut kata ktp baru akan di aju lama tengah tahun apa di kerja mohon bu risma tindak lanjut keluh di camat wonokromo itu bu kartini yg khusus urus urus ktp turut sikap ramah dab kes kasar hadap masyarakat
1942,lubang besar putar balik sangat ganggu besar sekali
1943,selokan jalan siwalankerto tepat depan apotek siwalan sumbat sampah sebut sebab banjir selokan dapat fungsi mohon segera ditindaklanjuti terima kasih
1944,mohon info dulur samsat corner yg buka mall mana ya royal galaxy ptc buka
1945,sapawargasby website media center bisa saat mohon jawab terima kasih
1946,check pju ir soekarno merr kalijudan memang nyala terang sangat pada di beberapa juga yang mati sapawargasby
1947,tagih pdam bengkak bln apr mei selesai tp byr juni jadi krn catat papan meter jadi utk 2 rumah dgn kondisi rumah pertama milik alm ortu kondisi kosong krn hendak jual sedang rumah ke2 posisi tinggal sendiri kerja mohon solusi krn ikat jam kantor butuh mudah utk byr tagih pdam
1948,jalan lubang jalan siwalankerto permai arah snc
1949,baik terima kasih cak min tuk kasus ktp rusak apa aju ganti ktp
1950,ridho warga domisili gresik yg tinggal kontrak daerah sby barat sukomanunggal pak rt tempat sudah tebar ancam keluarga karena sangat usir bantu karena masalah pribadi bantu cinta tolak sedang masih sangat2 butuh tenaga bantu karena saya istri posisi kerja dua2nya pak rt datang rumah marah2 dan tebar ancam pak mul nama rtnya
1951,klo mau cari lampion sama cheongsam kota surabaya d daerah mana aslisuroboyo e100ss surabaya sapawargasby ticsby infosuroboyo skyblues sby infosurabaya infosda infomalang polrestabessby
1952,min sapawargasby syarat pindah domisili sby luar provinsi apa aja yaa apa org nya langsung yg urus tdk wakil
1953,sapawargasby cak min mohon bantu info e ktp masa laku apa tetap urus panjang terima kasih lebaran
1954,pustaka balai pemuda juga libur lebaran
1955,info pju mati lama 3 minggu alamat jalan mustika baru rt 09 rt 10 rw 01 kel ngagel wonokromo mohon skpd kait tindak lanjut matur nuwun sanget
1956,kira kapan y webnya buka
1957,sapawargasby min ero gak puskesmas iku mulai buka tanggal piro yo soal e aku bingunh takok sopo
1958,maaf mau tanya hari web media center bisa buka terima kasih
1959,3 lubang maut jl basuki rachmatwaspada lewat jl basuki rachmat tuju arah tunjung plaza surabaya jalan sebut bekas 3 lubang kerja kurang sempurna dalam cukup rendah jaga cepat utama motor bisa akibat motor anda jatuh mohon pihak kait baik sangat bahaya selamat kendara
1960,min utk pinjam ambulance hubung 112 karena coba telp 112 gagal terus gimana sih cara mohon cerah terima kasih
1961,e100ss sapawargasby besi batas jembatan lepas jembatan nginden posisi dr arah prapen nginden
1962,salah satu lampu jalan depan kantor lurah siwalankerto padam segera tindak lanjut trima kasih
1963,pju jl jambang sawah mati 2 hari kemarin tgl 13 06 2018 hari 14 06 2018 mohon bantuannyaterima kasih
1964,sapawargasby min operasi 8 bus suroboyo dong jgn cm 6 tok wkt tunggue lama
1965,sapawargasby dulur tlong d bantu air d babat jerawat mati pdam ikut mudik wargane butuh air gawe lebaran rakyat ee kabeh gak mudik tq wdlm
1966,mau tanya status opd beri keluh itu arti apa terima kasih
1967,jalan depan its dekat empat segera baik ganggu kendara lewat terima kasih
1968,tindak lanjut jadi tgl 13juni2018 parkir motor depan rs siloam 3rb kasi karcis 1 harga ribu minta karcis 2 sesuai uang yg kasi malah ancam usir berantaspremanisme infosurabaya e100ss sits dishubsby pagi td tidak sempat foto jukirnya rs siloam 2jukir yg muda usia 20thn 40-50th yg masalah td yg umur 40-50thn lokasi persis depan rs siloam surabaya
1969,mau bagi2 kisah e100ss ttg urus ektp berangkat ibu spt info kalo ngurus ektp mudah nyata sama spt dulu walo bawa ksk ktp saya ngurus rt rw camat n lurah minta ttd buka blokir data e100ss padahal tinggal kerja kalo ikut acu bu risma bukan harus bisa buka blokir tempat e100ss
1970,ada syarat milik rusun milik pemkot
1971,samsat keliling masih buka hari mana mohon info nya sapawargasby e100ss
1972,ambil e-ktp kantor camat musti ribet banyak syarat minta surat hilang ktp asli kantor polisi padahal urus awal serah copy surat hilang kantor polisi dalam tanda terima ambil tanggal 19 6 2017 tanggal masuk berkas 31 januari 2017 datang kantor camat bawa tanda terima lampir minta serah surat hilang asli saat ambil memang banyak sekali masyarakat urus macam layan mohon maaf muncul curiga apakah uud alias ujung duit banyak sekali janggal seperti diada-adakan tugas layan apabila minta surat kuasa ambil kuasa masih terima posisi saat kerja usaha kalimantan timur tugas debat nama bpk hari layan ktp janji datang langsung kantor camat selesai harap pihak pemkot hadir agar saksi bagaimana layan tingkat camat masyarakat segera tindak tegas apabila ada langgar comfirm dulu atur jadwal saya pulang surabaya kalimantan
1973,e ktp anak a n intan salsabila firman alamat jl rungkut tanggal selatan 13 d26 lurah rungkut tanggal camat gunung anyar surabaya janji selesai bulan april ambil jadi janji bulan mei ambil jadi janji bulan juni hari tanggal 9 juni jadi jika hitung waktu lebih enam bulan mohon perhati
1974,bukan warga duduk surabaya mau tanya e-ktp calon suami saya jadi sekarang pernah kasih lembar kertas ktp tapi hancur kena hujan sering bawa pergi tuntut kerja kerja luar pulau jadi tiap minggu cek ktp jadi bulan depan akan pulang surabaya niat urus ktp sebut saya tanya ktp sekarang pasti jadi cepat karena dia libur kerja tidak bisa lama mana sampai keluh surabaya masalah e-ktp tempat kece yang mudah lihat apakah ktp jadi belum
1975,min banggasurabaya tanya bulan puasa dispenduk siola tutup jam berapa matur suwun
1976,sapawargasby permisi ingin buat keluh media center gagal terus tulis keluh gagal buat cek inputan kembali anda centang recaptcha padahal ada lihat captcha sama sekali
1977,iya pak terimakasih informasi rekrutmen lalu apa pak
1978,jalan rusak dekat lapang koni
1979,bukan jwabn yg juga mksut nya dr pemkot surabaya harus yg sangkut yg mnta surat rt rw
1980,dear admin sapawargasby sy keluh atas buruk layan park n ride jl mayjend sungkono mana tempat sebut atur yg ubah tulis guna jasa parkir
1981,usul daerah depan rumah tidak salur air shg klo hujan air lewat jalan kampung
1982,slmat pagi mau ty cabut kk dr surabaya btw sy semnjak mnikah pidah kk srby sekarang sy sdh cerai dg suami jadi sy mau cabut dr srby masalah rw nya kelg mantan suami sy ini krj luar pulau sy wakil u cabut dr kel tsb tp yg rw nya tdk mmberitau rmh rt jg mmpersulit wktu sllu mngaskan yg sangkut hrus dtg bukankah u rt rw kel jg kec wakil baru kalo dispenduk yg sangkut yg datsng mohon pnjlasan nya apa yg hrus sy laku trims
1983,pak warga surabaya sayaingin gabung nenjadi anggota satpol pp bisa
1984,sapawargasby server dispenduk apa aktif min kmrin siola gak bs ngurus surat krn servernya abis bakar kata makasih min
1985,baik sebut kira2 brp lama durasi min sayang kalo ktp sdh umur hidup tp informasi yg tera kliru
1986,lokasi mana admin
1987,jalan lubang jalan hr muhammad arah bundar satelit tepat bawah tol surabaya - porong cukup bahaya ada tempat gelap
1988,kalau cabut ktp mas keluar dr sby
1989,surat sehat 1 macam panjang sim jadi kalo panjang sim a c bawa 2 surat sehat
1990,jalan rusak ganggu jalan utama kendara motor
1991,jalan lubang jalan hr muhammad arah bundar satelit tepat bawah kolong tol surabaya - porong lubang cukup bahaya lokasi ada si tempat cukup gelap
1992,halo sapawargasby kalau mau keluh pdam via tlp online hubung mana trims
1993,sapawargasby kalau mau pindah keluar sby ngurus cabut ktp datang langsung bisa wakil
1994,min buat e ktp sdh pake prosedur yg benar tp knp hasil jd salah dan td ada salah sy tny camat jawab malah gak apa2 ga perlu baik maksud gimana min
1995,media centermohon informasi daftar sekolah lanjut atas lalu jalur khusus hafal al-qur an
1996,e100ss mohon bantu info dpu lubang got yg d dpn ktr d jalan sriwijaya 23 blm tutup stlh kerja mrk selesai shg aman buat parkir mobil operasional thanks
1997,dispenduk servernya mati
1998,sapawargasby min mau tanya mall layan publik utk urus panjang sim bayar stnk
1999,sedang mangajukan buat akta mati tanggal 10 april 2018 lurah gundih surabaya mana cantum lama buat 30 hari kerja sudah hampir 2 bulan jadi maaf belum untuk daftar lalu online daftar lewat kelurahaan gundih surabaya jadi ada nomor daftar akte mati atas nama bpk sunarnoterima kasih
2000,hr sy ambil e ktp camat stlh sy cek ketidaksesuaian golong darah yg tdk isi alias kosong hal benar bgmn mohon informasi
2001,jalan foto jl raya dharma husada indah no 128 mojo gubeng tepat di sekitar depan taman kanak-kanak apple tree saya mohon segera tindak lanjut dikarenan jalan sebut sangat ramai waktu siang hari tidak sedikit kendara meewati jalan lubang sebut banyak orang tidak sadar rawan sekali jadi celaka
2002,e100ss banyak edar karcis abal abal olah biar udah banyak keluh dengar ss mohon dinas kait
2003,admin media center surabaya terhomat adryan sama keluh ingin bagi media center surabaya dapat sambung perintah kota surabaya kena terang jalan ada empat jalan raya jemur sari ada lebar jalan jadi jalan sebut cukup gelap lampu terang ada kiri kanan jalan sedang jalan cukup lebar sekarang bagi tengah ada batas jadi gelap malam hari kondisi hujan sangat gelap bahaya jalan tambah apabila ada kendara lewat jalan ahmad yani masuk jalan raya jemur sari kurang cahaya saya keluh terang sini pernah jadi celaka sana banyak warga komplain sekian keluh saya mohon tanggap terima kasih
2004,camat punya account email media sosial twitter
2005,selamat sore urus tdup kantor cabang surabaya apa syarat nya terima kasih
2006,jalan lubang bahaya kendara sepeda motor lintas lokasi hujan jalan genang air jadi lubang terlalu lihat apalag saat kondisi malam hari segera baik terima kasih jalan dharmahusada permai dekat rs unair
2007,panjang sim persyaratan2 khusus gak sih takut aja udah capek antre panjang nyata ada yg kurang
2008,selamat siang mohon laku sidak camat gunung anyar urus ektp sama punya istri la punya istri sudah jadi punya hampir 2tahun jadi2
